itemcode,itemname,,,,,,,
2069,미나리 오징어 돼지불고기,,,,,,,
2071,황태채 미나리볶음,,,,,,,
2073,민들레 삼채 겉절이,,,,,,,
2095,궁채나물볶음,,,,,,,
2096,참취나물무침 ,,,,,,,
2220,볶음짬뽕,,,,,,,
2224,[에쉬레] 가염버터 포션,,,,,,,
2345,카레스프 (1인분),,,,,,,
2372,새우 아스파라거스죽 (1인분),,,,,,,
2373,[vezzly] 쫄깃한 100℃ 식빵,,,,,,,
2387,[vezzly] 좋은아침 모닝롤 (6입),,,,,,,
2429,죽순 생강 소불고기 세트 ,,,,,,,
2441,율무 샐러드 세트,,,,,,,
2450,리코타&보리순커리,,,,,,,
2451,마늘 대추 닭살구이 세트,,,,,,,
2469,더 부드러운 돼지고기 장조림,,,,,,,
2471,여주 소불고기 세트,,,,,,,
2474,3days 샐러드 패키지,,,,,,,
2491,민들레 닭살볶음 세트 ,,,,,,,
2492,모링가 돼지고기 된장찜 세트,,,,,,,
2500,오리불고기 향채 샐러드 세트 ,,,,,,,
2525,미강 돼지고기 배추볶음 세트 ,,,,,,,
2526,[vezzly] 밀푀유 식빵,,,,,,,
2529,씨푸드 미나리 샐러드 세트 ,,,,,,,
2536,볶음 쟁반 자장면,,,,,,,
2550,오리 버섯 주물럭 세트 ,,,,,,,
2558,[에르베로씨] 블랙베리잼,,,,,,,
2611,단호박 씨드범벅 샐러드 세트,,,,,,,
2624,[vezzly] 방콕 세트,,,,,,,
2636,숙주 부추 소불고기 세트,,,,,,,
2637,보리순 그린커리 세트 ,,,,,,,
2638,오리고사리 들깨볶음 세트,,,,,,,
2679,콜리플라워 계란볶음 세트,,,,,,,
2741,과콰몰리 돌나물 샐러드 세트,,,,,,,
2742,소불고기 취나물 샐러드 세트,,,,,,,
2790,[1Table] 명인명촌 화식한우 소불고기,,,,,,,
2800,연자육 돼지불고기 세트 ,,,,,,,
2828,소고기 가지 된장볶음 세트 ,,,,,,,
2832,더 부드러운 LA갈비,,,,,,,
2849,더 부드러운 소고기 장조림 ,,,,,,,
2885,그리스식 닭살 샐러드,,,,,,,
2911,[에르베로씨] 딸기잼,,,,,,,
2992,[1Table] 동그랑땡,,,,,,,
3066,마늘영양식단,,,,,,,
3100,두부식단,,,,,,,
